speed,acceleration,steering_angle,distance_ahead,lane_position,traffic_density,traffic_light,obstacle_detected,road_condition,weather,road_curvature,action
42.71,-0.33,-17.87,6.19,LEFT,LOW,RED,NO,DRY,CLEAR,STRAIGHT,STOP
131.25,-1.8,4.11,37.94,CENTER,LOW,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
125.02,0.66,6.24,21.62,RIGHT,HIGH,NONE,NO,WET,CLEAR,LEFT,BRAKE
80.41,0.38,19.13,93.63,CENTER,MEDIUM,YELLOW,YES,DRY,CLEAR,STRAIGHT,BRAKE
54.96,-0.82,-0.8,137.78,CENTER,HIGH,NONE,NO,DRY,CLEAR,RIGHT,CHANGE_LANE_LEFT
120.66,-0.74,0.87,59.05,CENTER,LOW,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
12.67,-3.93,-0.87,191.86,RIGHT,MEDIUM,GREEN,NO,SLIPPERY,CLEAR,STRAIGHT,ACCELERATE
92.42,-1.63,15.02,115.34,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,RIGHT,TURN_RIGHT
17.57,3.69,4.79,84.88,CENTER,MEDIUM,GREEN,NO,WET,CLEAR,STRAIGHT,ACCELERATE
23.64,0.96,13.0,88.7,CENTER,MEDIUM,GREEN,NO,WET,CLEAR,STRAIGHT,MAINTAIN_SPEED
107.66,2.1,7.2,170.41,CENTER,LOW,GREEN,NO,DRY,CLEAR,RIGHT,MAINTAIN_SPEED
68.78,-1.99,5.72,183.85,CENTER,LOW,NONE,NO,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
99.85,0.35,9.88,179.61,LEFT,LOW,RED,NO,DRY,RAIN,LEFT,STOP
0.81,2.07,-25.91,160.69,CENTER,HIGH,RED,NO,SLIPPERY,RAIN,LEFT,BRAKE
6.02,-1.92,17.6,126.74,RIGHT,LOW,GREEN,NO,DRY,CLEAR,RIGHT,TURN_RIGHT
8.18,-2.6,6.17,177.06,CENTER,LOW,RED,NO,SLIPPERY,CLEAR,LEFT,BRAKE
85.86,0.9,17.17,61.67,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
17.88,0.17,2.08,62.33,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,ACCELERATE
5.41,-0.73,25.18,46.67,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,LEFT,TURN_LEFT
64.71,0.02,33.77,103.52,CENTER,HIGH,NONE,NO,DRY,RAIN,STRAIGHT,CHANGE_LANE_RIGHT
74.12,1.53,8.65,168.71,LEFT,LOW,GREEN,YES,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
128.48,3.41,11.64,120.97,LEFT,MEDIUM,NONE,NO,WET,CLEAR,LEFT,TURN_LEFT
58.18,0.25,-1.12,43.39,CENTER,LOW,YELLOW,NO,SLIPPERY,CLEAR,RIGHT,BRAKE
21.24,3.51,-5.75,17.85,CENTER,MEDIUM,GREEN,YES,DRY,RAIN,STRAIGHT,BRAKE
43.81,-1.35,14.92,99.67,LEFT,LOW,NONE,NO,DRY,CLEAR,LEFT,TURN_LEFT
54.99,1.77,8.61,169.21,CENTER,HIGH,NONE,NO,SLIPPERY,CLEAR,RIGHT,BRAKE
74.82,-1.28,-11.55,80.91,RIGHT,MEDIUM,YELLOW,NO,DRY,CLEAR,RIGHT,BRAKE
46.13,-3.62,-0.88,57.05,CENTER,MEDIUM,NONE,NO,DRY,RAIN,RIGHT,MAINTAIN_SPEED
144.48,-0.73,-13.94,24.59,CENTER,MEDIUM,GREEN,NO,SLIPPERY,FOG,STRAIGHT,BRAKE
112.5,-1.06,-21.47,10.11,CENTER,MEDIUM,NONE,NO,SLIPPERY,CLEAR,LEFT,BRAKE
83.32,-1.59,7.03,164.87,LEFT,MEDIUM,RED,YES,DRY,CLEAR,LEFT,STOP
110.91,1.78,3.14,48.44,CENTER,HIGH,RED,NO,DRY,CLEAR,STRAIGHT,STOP
100.74,-2.6,-31.37,70.91,RIGHT,LOW,GREEN,NO,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
51.29,-3.74,9.09,199.75,CENTER,MEDIUM,RED,NO,SLIPPERY,CLEAR,STRAIGHT,BRAKE
137.29,4.62,-2.26,74.34,LEFT,LOW,RED,NO,DRY,CLEAR,STRAIGHT,STOP
112.79,-2.26,-4.45,179.61,CENTER,LOW,NONE,NO,WET,CLEAR,LEFT,MAINTAIN_SPEED
36.21,2.09,4.54,175.11,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,RIGHT,MAINTAIN_SPEED
122.2,-1.25,-5.66,38.67,CENTER,LOW,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
15.45,-1.96,-30.16,14.98,CENTER,MEDIUM,GREEN,YES,DRY,CLEAR,STRAIGHT,BRAKE
31.05,1.4,-2.88,84.49,LEFT,LOW,NONE,YES,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
117.09,-2.56,-1.25,65.85,CENTER,MEDIUM,GREEN,NO,DRY,FOG,STRAIGHT,MAINTAIN_SPEED
106.73,0.15,7.13,29.36,RIGHT,LOW,YELLOW,YES,DRY,CLEAR,STRAIGHT,BRAKE
88.53,-4.65,1.29,170.97,CENTER,LOW,GREEN,NO,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
147.7,2.84,-11.97,65.04,CENTER,MEDIUM,YELLOW,NO,DRY,CLEAR,STRAIGHT,BRAKE
2.86,-1.39,-16.64,142.2,CENTER,LOW,NONE,NO,DRY,CLEAR,LEFT,TURN_LEFT
76.09,-3.26,-0.67,5.28,RIGHT,MEDIUM,RED,NO,WET,CLEAR,LEFT,STOP
7.58,-3.13,6.65,133.4,RIGHT,LOW,GREEN,NO,WET,CLEAR,STRAIGHT,ACCELERATE
59.42,0.95,16.74,114.25,CENTER,HIGH,GREEN,NO,DRY,RAIN,STRAIGHT,CHANGE_LANE_RIGHT
14.11,0.78,-5.23,137.15,LEFT,HIGH,YELLOW,NO,WET,RAIN,STRAIGHT,MAINTAIN_SPEED
110.02,0.07,0.4,104.37,CENTER,MEDIUM,GREEN,NO,DRY,RAIN,RIGHT,MAINTAIN_SPEED
14.98,3.57,23.89,6.58,RIGHT,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
61.37,2.42,-4.7,94.59,LEFT,MEDIUM,GREEN,YES,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
36.54,-3.61,-0.76,176.45,CENTER,LOW,YELLOW,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
143.9,0.16,-24.6,23.92,CENTER,LOW,GREEN,NO,SLIPPERY,FOG,RIGHT,BRAKE
10.77,0.72,16.18,111.47,LEFT,HIGH,GREEN,NO,DRY,CLEAR,STRAIGHT,CHANGE_LANE_RIGHT
87.63,-2.16,6.23,75.51,CENTER,HIGH,GREEN,NO,SLIPPERY,CLEAR,RIGHT,BRAKE
39.68,-2.69,-9.77,83.89,CENTER,LOW,GREEN,NO,WET,CLEAR,STRAIGHT,MAINTAIN_SPEED
36.72,-0.79,-11.27,177.82,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
142.84,2.91,21.42,34.39,CENTER,LOW,YELLOW,YES,DRY,RAIN,STRAIGHT,BRAKE
69.75,0.72,-4.62,39.07,RIGHT,HIGH,GREEN,NO,DRY,FOG,STRAIGHT,BRAKE
51.36,-1.21,29.16,150.67,CENTER,LOW,NONE,NO,DRY,CLEAR,RIGHT,TURN_RIGHT
9.31,2.31,0.45,32.16,CENTER,MEDIUM,NONE,NO,WET,CLEAR,LEFT,ACCELERATE
70.92,1.16,-19.9,37.09,CENTER,HIGH,RED,NO,WET,RAIN,RIGHT,STOP
99.0,2.18,19.23,74.53,CENTER,MEDIUM,GREEN,NO,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
51.35,-1.04,8.24,26.91,LEFT,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
129.09,-2.61,-13.27,27.61,CENTER,LOW,GREEN,NO,SLIPPERY,CLEAR,STRAIGHT,BRAKE
142.94,-5.45,0.47,125.84,CENTER,HIGH,GREEN,NO,DRY,CLEAR,RIGHT,CHANGE_LANE_RIGHT
66.59,2.01,8.81,65.8,CENTER,MEDIUM,GREEN,NO,DRY,RAIN,RIGHT,TURN_RIGHT
146.73,-3.1,-2.65,152.99,CENTER,MEDIUM,YELLOW,NO,DRY,CLEAR,STRAIGHT,BRAKE
32.83,-1.14,14.72,35.2,LEFT,LOW,GREEN,NO,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
149.79,-2.28,2.95,85.71,CENTER,HIGH,NONE,YES,DRY,RAIN,STRAIGHT,CHANGE_LANE_RIGHT
99.52,-3.5,-20.07,36.92,CENTER,MEDIUM,GREEN,NO,DRY,FOG,RIGHT,BRAKE
14.28,1.24,12.66,65.03,CENTER,MEDIUM,RED,NO,DRY,RAIN,RIGHT,BRAKE
62.5,2.1,19.34,160.68,CENTER,HIGH,RED,NO,DRY,CLEAR,STRAIGHT,STOP
7.92,0.01,-9.75,155.38,LEFT,MEDIUM,NONE,YES,DRY,RAIN,RIGHT,TURN_RIGHT
122.88,3.45,-2.14,148.08,CENTER,HIGH,GREEN,NO,DRY,CLEAR,STRAIGHT,CHANGE_LANE_LEFT
112.72,1.73,6.15,36.91,LEFT,HIGH,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
131.26,3.68,-31.86,40.08,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,RIGHT,TURN_RIGHT
3.99,-0.91,-14.94,98.27,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,ACCELERATE
47.21,2.14,-10.4,15.08,LEFT,LOW,NONE,NO,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
140.33,1.88,25.14,117.98,LEFT,MEDIUM,YELLOW,YES,DRY,CLEAR,STRAIGHT,BRAKE
129.04,-1.69,-9.26,12.94,CENTER,LOW,GREEN,NO,WET,FOG,STRAIGHT,BRAKE
17.3,-5.62,-15.54,170.77,CENTER,HIGH,GREEN,NO,DRY,CLEAR,STRAIGHT,CHANGE_LANE_LEFT
86.53,1.42,-7.14,195.77,CENTER,MEDIUM,NONE,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
28.98,3.88,16.6,118.69,CENTER,MEDIUM,GREEN,NO,SLIPPERY,FOG,STRAIGHT,MAINTAIN_SPEED
67.66,3.79,-10.36,132.43,CENTER,LOW,GREEN,NO,DRY,CLEAR,LEFT,TURN_LEFT
32.18,-1.12,-0.64,52.97,RIGHT,HIGH,GREEN,NO,DRY,FOG,STRAIGHT,MAINTAIN_SPEED
86.85,0.06,-7.8,136.72,CENTER,LOW,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
49.61,-0.06,26.05,113.89,CENTER,LOW,GREEN,NO,DRY,FOG,RIGHT,TURN_RIGHT
28.14,-2.41,0.7,76.14,LEFT,HIGH,GREEN,NO,SLIPPERY,CLEAR,STRAIGHT,MAINTAIN_SPEED
62.64,-2.95,10.46,167.87,CENTER,LOW,NONE,YES,DRY,CLEAR,LEFT,TURN_LEFT
100.25,-0.06,-20.32,9.94,CENTER,MEDIUM,YELLOW,YES,DRY,CLEAR,STRAIGHT,BRAKE
60.75,1.03,24.17,17.99,CENTER,HIGH,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
143.81,0.82,-9.52,61.75,RIGHT,LOW,NONE,NO,DRY,CLEAR,RIGHT,TURN_RIGHT
80.23,-1.27,-5.33,80.65,CENTER,LOW,NONE,NO,DRY,CLEAR,RIGHT,MAINTAIN_SPEED
130.1,2.4,-19.69,195.23,RIGHT,HIGH,RED,NO,DRY,CLEAR,RIGHT,STOP
105.73,-7.17,-4.13,78.5,CENTER,MEDIUM,RED,YES,WET,CLEAR,RIGHT,STOP
5.28,1.16,-24.33,195.2,CENTER,MEDIUM,NONE,NO,DRY,CLEAR,STRAIGHT,ACCELERATE
29.27,1.74,3.33,108.37,CENTER,LOW,GREEN,NO,WET,FOG,STRAIGHT,MAINTAIN_SPEED
33.89,2.49,12.62,76.91,CENTER,MEDIUM,YELLOW,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
108.29,1.86,-3.52,39.2,LEFT,MEDIUM,GREEN,NO,DRY,FOG,STRAIGHT,BRAKE
63.26,0.9,-18.08,47.14,CENTER,LOW,NONE,NO,WET,CLEAR,STRAIGHT,MAINTAIN_SPEED
97.23,-0.99,19.07,128.31,RIGHT,MEDIUM,GREEN,NO,DRY,FOG,STRAIGHT,MAINTAIN_SPEED
121.82,0.1,-16.72,93.02,CENTER,MEDIUM,RED,NO,DRY,RAIN,RIGHT,STOP
16.61,-3.64,-5.08,41.14,CENTER,MEDIUM,NONE,NO,WET,CLEAR,STRAIGHT,ACCELERATE
22.11,0.45,-8.01,27.2,CENTER,MEDIUM,RED,NO,WET,RAIN,RIGHT,BRAKE
123.08,-1.56,17.23,36.92,CENTER,MEDIUM,YELLOW,NO,DRY,CLEAR,STRAIGHT,BRAKE
45.44,-4.99,-21.87,153.1,RIGHT,MEDIUM,GREEN,NO,SLIPPERY,CLEAR,RIGHT,TURN_RIGHT
118.72,2.7,15.58,5.13,CENTER,MEDIUM,GREEN,NO,DRY,RAIN,STRAIGHT,BRAKE
118.95,-4.22,-12.09,174.84,RIGHT,LOW,GREEN,NO,DRY,FOG,STRAIGHT,MAINTAIN_SPEED
44.44,0.99,-20.37,13.47,RIGHT,MEDIUM,NONE,NO,DRY,CLEAR,RIGHT,TURN_RIGHT
136.99,0.35,-10.62,163.27,CENTER,LOW,NONE,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
115.78,-0.03,-18.9,44.19,LEFT,MEDIUM,NONE,YES,DRY,CLEAR,LEFT,TURN_LEFT
59.29,-4.05,-30.48,39.39,LEFT,MEDIUM,GREEN,NO,DRY,CLEAR,RIGHT,TURN_RIGHT
60.5,0.6,20.51,146.5,CENTER,LOW,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
136.14,-0.96,3.75,56.28,CENTER,LOW,NONE,NO,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
24.29,0.12,9.9,43.77,RIGHT,HIGH,NONE,NO,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
114.0,-0.04,3.68,187.83,CENTER,MEDIUM,NONE,NO,WET,RAIN,LEFT,MAINTAIN_SPEED
17.68,-3.73,0.69,102.04,CENTER,MEDIUM,GREEN,NO,DRY,RAIN,LEFT,ACCELERATE
28.28,0.97,-22.88,144.92,RIGHT,HIGH,GREEN,NO,DRY,FOG,STRAIGHT,CHANGE_LANE_LEFT
131.33,0.7,-9.08,77.79,RIGHT,HIGH,GREEN,NO,DRY,CLEAR,LEFT,TURN_LEFT
3.67,-3.75,-13.33,113.58,CENTER,LOW,GREEN,NO,DRY,CLEAR,RIGHT,TURN_RIGHT
112.46,-0.39,-17.97,149.72,RIGHT,LOW,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
106.5,0.35,-30.23,107.26,CENTER,MEDIUM,GREEN,NO,WET,RAIN,STRAIGHT,MAINTAIN_SPEED
21.15,-2.53,1.65,184.54,CENTER,LOW,YELLOW,YES,DRY,CLEAR,RIGHT,MAINTAIN_SPEED
19.88,-2.35,-6.88,155.33,CENTER,HIGH,GREEN,NO,WET,CLEAR,STRAIGHT,CHANGE_LANE_LEFT
25.46,-2.05,1.45,32.4,CENTER,HIGH,GREEN,NO,WET,CLEAR,LEFT,MAINTAIN_SPEED
32.49,-1.94,-8.05,60.41,CENTER,LOW,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
101.21,-1.58,-13.74,90.47,CENTER,LOW,YELLOW,NO,WET,CLEAR,RIGHT,BRAKE
114.06,-3.24,22.18,124.7,RIGHT,MEDIUM,GREEN,NO,WET,CLEAR,STRAIGHT,MAINTAIN_SPEED
138.25,1.72,15.77,192.52,CENTER,LOW,YELLOW,YES,DRY,CLEAR,LEFT,BRAKE
4.82,-0.82,-1.92,188.33,LEFT,MEDIUM,GREEN,NO,DRY,RAIN,STRAIGHT,ACCELERATE
75.03,0.1,12.49,199.77,CENTER,LOW,YELLOW,NO,DRY,FOG,RIGHT,BRAKE
95.85,-5.27,10.0,42.36,CENTER,HIGH,GREEN,NO,SLIPPERY,FOG,RIGHT,BRAKE
40.37,-2.79,5.39,113.03,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
127.58,-3.28,-26.49,152.35,CENTER,LOW,GREEN,YES,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
87.26,-0.42,13.57,32.77,CENTER,MEDIUM,GREEN,YES,WET,RAIN,STRAIGHT,MAINTAIN_SPEED
135.59,-0.93,3.06,42.15,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
33.66,1.81,18.49,142.86,LEFT,MEDIUM,GREEN,NO,WET,RAIN,LEFT,TURN_LEFT
71.25,-2.84,-28.03,10.43,CENTER,MEDIUM,GREEN,YES,WET,FOG,STRAIGHT,BRAKE
2.68,1.55,-15.09,4.39,CENTER,HIGH,NONE,NO,DRY,CLEAR,RIGHT,TURN_RIGHT
92.21,-1.54,13.33,32.41,CENTER,LOW,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
109.97,2.17,9.52,45.48,CENTER,HIGH,GREEN,NO,WET,CLEAR,RIGHT,TURN_RIGHT
92.8,-3.19,1.23,139.2,RIGHT,LOW,RED,NO,DRY,CLEAR,STRAIGHT,STOP
42.77,-4.44,-8.5,104.97,RIGHT,MEDIUM,NONE,NO,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
22.9,-1.84,6.31,58.75,LEFT,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
97.7,-4.73,2.82,51.16,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
51.72,-2.02,-17.68,157.0,RIGHT,LOW,GREEN,NO,DRY,RAIN,LEFT,TURN_LEFT
147.15,-1.13,-8.66,110.3,LEFT,LOW,NONE,YES,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
146.71,1.65,-0.13,189.19,CENTER,MEDIUM,RED,NO,SLIPPERY,CLEAR,RIGHT,STOP
75.68,-3.33,-19.13,57.34,RIGHT,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
30.03,-1.16,12.96,135.61,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,RIGHT,TURN_RIGHT
32.07,0.26,-14.6,9.72,CENTER,LOW,YELLOW,NO,DRY,RAIN,RIGHT,BRAKE
106.55,-2.73,-18.81,69.62,LEFT,MEDIUM,GREEN,YES,DRY,CLEAR,RIGHT,TURN_RIGHT
5.93,-3.52,-25.71,56.23,LEFT,LOW,YELLOW,NO,DRY,CLEAR,STRAIGHT,ACCELERATE
3.78,-2.88,2.06,198.18,RIGHT,MEDIUM,GREEN,NO,WET,RAIN,RIGHT,ACCELERATE
65.15,0.24,10.2,63.08,RIGHT,LOW,NONE,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
119.88,3.5,-13.61,21.38,CENTER,MEDIUM,RED,NO,DRY,CLEAR,STRAIGHT,STOP
40.55,0.54,10.04,66.91,CENTER,MEDIUM,YELLOW,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
123.59,0.25,30.39,157.37,RIGHT,HIGH,RED,NO,DRY,RAIN,STRAIGHT,STOP
139.44,6.76,5.13,144.77,LEFT,MEDIUM,GREEN,YES,DRY,CLEAR,LEFT,MAINTAIN_SPEED
140.56,0.56,7.81,66.01,CENTER,MEDIUM,GREEN,YES,DRY,FOG,STRAIGHT,MAINTAIN_SPEED
72.36,1.51,16.21,24.58,RIGHT,HIGH,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
38.0,1.2,6.6,9.67,CENTER,LOW,GREEN,YES,SLIPPERY,RAIN,RIGHT,STOP
48.02,5.03,7.14,60.78,LEFT,MEDIUM,YELLOW,NO,DRY,CLEAR,LEFT,MAINTAIN_SPEED
51.81,-1.35,-2.3,77.02,CENTER,HIGH,GREEN,NO,WET,CLEAR,STRAIGHT,CHANGE_LANE_LEFT
148.01,3.23,23.12,113.28,LEFT,HIGH,GREEN,NO,WET,CLEAR,STRAIGHT,CHANGE_LANE_RIGHT
126.37,-2.75,3.05,112.13,CENTER,HIGH,GREEN,NO,DRY,CLEAR,LEFT,CHANGE_LANE_RIGHT
14.04,-0.1,-1.17,41.56,CENTER,HIGH,GREEN,NO,DRY,CLEAR,STRAIGHT,CHANGE_LANE_LEFT
6.48,-0.14,15.15,189.88,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,ACCELERATE
134.72,-5.94,-10.2,78.17,LEFT,MEDIUM,GREEN,YES,WET,CLEAR,RIGHT,TURN_RIGHT
10.05,1.58,11.81,54.02,RIGHT,LOW,YELLOW,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
20.79,1.15,4.72,173.91,CENTER,MEDIUM,RED,YES,DRY,RAIN,STRAIGHT,BRAKE
9.96,6.43,-9.75,19.61,LEFT,LOW,NONE,NO,DRY,CLEAR,LEFT,TURN_LEFT
75.1,3.23,3.4,166.48,LEFT,MEDIUM,NONE,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
78.22,1.05,16.35,62.49,CENTER,MEDIUM,RED,NO,DRY,CLEAR,LEFT,STOP
35.63,0.65,-0.44,11.36,CENTER,HIGH,RED,NO,DRY,CLEAR,LEFT,STOP
1.64,2.03,-12.61,53.01,LEFT,LOW,GREEN,NO,WET,RAIN,RIGHT,TURN_RIGHT
37.09,0.38,4.21,67.3,RIGHT,MEDIUM,NONE,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
79.15,-2.21,10.26,26.52,LEFT,HIGH,RED,NO,WET,CLEAR,LEFT,STOP
113.6,-0.68,10.27,118.06,CENTER,MEDIUM,NONE,NO,DRY,CLEAR,LEFT,TURN_LEFT
24.06,-4.15,4.01,97.31,CENTER,LOW,GREEN,NO,DRY,CLEAR,LEFT,ACCELERATE
118.54,-2.16,-21.42,56.08,CENTER,HIGH,GREEN,YES,DRY,CLEAR,LEFT,TURN_LEFT
89.02,-1.86,-8.22,90.36,RIGHT,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
141.62,-0.04,23.69,22.94,CENTER,HIGH,GREEN,NO,WET,CLEAR,STRAIGHT,BRAKE
60.32,2.49,-1.69,176.97,CENTER,MEDIUM,YELLOW,NO,DRY,CLEAR,LEFT,BRAKE
124.37,-1.34,-5.24,188.19,RIGHT,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
125.5,-0.39,-15.46,110.63,CENTER,LOW,GREEN,NO,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
135.37,-2.27,0.47,124.79,CENTER,MEDIUM,RED,NO,DRY,RAIN,STRAIGHT,CHANGE_LANE_LEFT
76.08,2.12,17.91,51.47,CENTER,MEDIUM,NONE,YES,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
96.56,-5.48,-7.12,139.17,LEFT,LOW,GREEN,YES,DRY,CLEAR,LEFT,MAINTAIN_SPEED
90.59,-0.77,-7.82,21.79,CENTER,HIGH,RED,NO,WET,RAIN,STRAIGHT,STOP
104.51,4.46,-2.78,167.57,LEFT,LOW,RED,NO,DRY,CLEAR,STRAIGHT,STOP
115.15,0.36,-2.27,26.63,CENTER,HIGH,RED,NO,SLIPPERY,FOG,STRAIGHT,STOP
68.51,-0.11,-6.33,30.54,CENTER,LOW,GREEN,NO,WET,RAIN,STRAIGHT,MAINTAIN_SPEED
40.67,-5.25,10.91,172.46,RIGHT,HIGH,NONE,NO,DRY,FOG,STRAIGHT,MAINTAIN_SPEED
84.06,-4.52,6.1,49.78,LEFT,MEDIUM,NONE,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
123.44,-2.48,12.58,152.48,CENTER,HIGH,GREEN,NO,WET,RAIN,LEFT,TURN_LEFT
148.96,1.17,9.27,149.43,CENTER,HIGH,GREEN,NO,DRY,CLEAR,RIGHT,TURN_RIGHT
59.11,2.95,-11.67,161.55,RIGHT,LOW,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
